UF,MUNICIPIO,BAIRRO,ENDERAG,CEP_,LATITUDE2,LONGITUD2,Base Referencia,lat_lng,Agencia,Lat,Long,cluster
MG,BELO HORIZONTE,BETANIA,AV URSULA PAULINO 1177,30570-000,-19.958797,-43.988095,Belo Horizonte,"(-19.958421, -43.9866871)",4829,-19.958421,-43.9866871,0
MG,BELO HORIZONTE,RENASCENCA,AV JACUI 2556,31140-650,-19.890629,-43.936155,Belo Horizonte,"(-19.8914459, -43.9359689)",4875,-19.8914459,-43.9359689,0
MG,JUIZ DE FORA,CASCATINHA,AV DR PAULO J COELHO 555,36033-310,-21.782548,-43.364276,Belo Horizonte,"(-21.7623932, -43.3434669)",4980,-21.7623932,-43.3434669,0
MG,DATAS,CENTRO,AV J MAG PINTO 322,39130-000,-18.445716,-43.656001,Belo Horizonte,"(-18.4490838, -43.6583328)",5067,-18.4490838,-43.6583328,2
MG,UBAPORANGA,CENTRO,AV MARQ PEREIRA 82,35338-000,-19.635782,-42.104893,Belo Horizonte,"(-19.638822, -42.105039)",5068,-19.638822,-42.105039,2
MG,CAMPO FLORIDO,CENTRO,R GOV VALADARES 4,38130-000,-19.759795,-48.573389,Uberaba,"(-19.7607506, -48.5703335)",5111,-19.7607506,-48.5703335,1
MG,DIVINO,CENTRO,R GENSERICO N OLIVEIR 44,36820-000,-20.616251,-42.149077,Belo Horizonte,"(-20.6146511, -42.1473738)",5112,-20.6146511,-42.1473738,0
MG,ITAOBIM,CENTRO,P AFONSO M SILVA 176A,39625-000,-16.576092,-41.504022,Belo Horizonte,"(-16.5585736, -41.5025529)",5113,-16.5585736,-41.5025529,2
MG,JAIBA,CENTRO,AV CEL MOACIR SILVA 631,39508-000,-15.337152,-43.685752,Belo Horizonte,"(-15.3479284, -43.6700234)",5114,-15.3479284,-43.6700234,2
MG,SAO JOSE DA LAPA,CENTRO,R PE JOSE DIAS 379,33350-000,-19.698977,-43.957775,Belo Horizonte,"(-19.6990086, -43.957405)",5119,-19.6990086,-43.957405,0
MG,BOM JESUS DO GALHO,CENTRO,R VER J S JACOB 140,35340-000,-19.829470,-42.316683,Belo Horizonte,"(-19.8279989, -42.3163829)",5132,-19.8279989,-42.3163829,2
MG,GOUVEIA,CENTRO,AV J KUBITSCHEK 961,39120-000,-18.447512,-43.739174,Belo Horizonte,"(-18.4579346, -43.7422007)",5134,-18.4579346,-43.7422007,2
MG,NAZARENO,CENTRO,R FCO R CARVALHO 111,36370-000,-21.212645,-44.598409,Belo Horizonte,"(-21.2174201, -44.6150308)",5135,-21.2174201,-44.6150308,0
MG,ALTO JEQUITIBA,CENTRO,AV CATARINA ELLER 715,36976-000,-20.420844,-41.958654,Belo Horizonte,"(-20.4268177, -41.9645697)",5160,-20.4268177,-41.9645697,0
MG,CONQUISTA,CENTRO,P CEL TANCREDO FRANCA 79,38195-000,-19.938943,-47.543804,Uberaba,"(-19.93701788, -47.545241)",5161,-19.93701788,-47.545241,1
MG,DOM CAVATI,CENTRO,R NOVO HORIZONTE 293,35148-000,-19.376184,-42.106458,Belo Horizonte,"(-19.3765016, -42.1067178)",5162,-19.3765016,-42.1067178,2
MG,S JOAO EVANGELISTA,CENTRO,P IDELFONSO R FREITAS 49,39705-000,-18.546086,-42.759790,Belo Horizonte,"(-18.5444918, -42.7658484)",5166,-18.5444918,-42.7658484,2
MG,CHAPADA DO NORTE,CENTRO,PCA P J M SACRAMENTO 114,39648-000,-17.080159,-42.548099,Belo Horizonte,"(-17.088198, -42.5379441)",5184,-17.088198,-42.5379441,2
MG,CONGONHAL,CENTRO,PCA COMEND F MATOS 11,37557-000,-22.131163,-46.043495,Uberaba,"(-22.152277, -46.0416345)",5185,-22.152277,-46.0416345,1
MG,GURINHATA,CENTRO,R MARQ DA COSTA 285,38310-000,-19.214804,-49.787515,Uberaba,"(-19.2141258, -49.78810319999999)",5186,-19.2141258,-49.78810319999999,1
MG,VIRGEM DA LAPA,CENTRO,R GUILHERMINA CHAVES 181,39630-000,-16.805982,-42.342054,Belo Horizonte,"(-16.8039327, -42.3409194)",5188,-16.8039327,-42.3409194,2
MG,AGUAS FORMOSAS,CENTRO,R DR SEBAST FIG 710,39880-000,-17.082012,-40.934179,Belo Horizonte,"(-17.0834392, -40.933945)",5236,-17.0834392,-40.933945,2
MG,AGUAS VERMELHAS,CENTRO,R SAO VICENTE 164,39990-000,-15.747453,-41.460927,Belo Horizonte,"(-15.7449222, -41.4582096)",5237,-15.7449222,-41.4582096,2
MG,BELA VISTA MINAS,CENTRO,AV ARTUR COSTA SILVA 5,35938-000,-19.829225,-43.091681,Belo Horizonte,"(-19.828783, -43.0967635)",5241,-19.828783,-43.0967635,0
MG,CACHOEIRA DE PAJEU,CENTRO,R AFONSO PENA 14,39980-000,-15.963699,-41.494825,Belo Horizonte,"(-15.9643239, -41.4960743)",5243,-15.9643239,-41.4960743,2
MG,CAMPOS ALTOS,CENTRO,R MARIA RITA FRANCO 210,38970-000,-19.697506,-46.172042,Uberaba,"(-19.6975378, -46.1720028)",5244,-19.6975378,-46.1720028,1
MG,COLUNA,CENTRO,PCA HERCULANO TORRES 36,39770-000,-18.230131,-42.832370,Belo Horizonte,"(-18.23312, -42.84041999999999)",5250,-18.23312,-42.84041999999999,2
